iter	Passed	Remaining
577	134937	97818
578	135103	97536
579	135248	97238
580	135391	96941
581	135540	96648
582	135688	96355
583	135847	96069
584	135992	95776
585	136135	95480
586	136305	95205
587	136547	94979
588	136792	94755
589	136998	94505
590	137226	94270
591	137491	94060
592	137727	93831
593	138012	93634
594	138273	93421
595	138541	93213
596	138765	92975
597	138935	92701
598	139127	92442
599	139329	92189
600	139517	91928
601	139691	91657
602	139918	91422
603	140136	91181
604	140355	90941
605	140570	90697
606	140753	90434
607	141024	90227
608	141345	90052
609	141555	89806
610	141748	89549
611	141949	89298
612	142150	89046
613	142362	88802
614	142554	88545
615	142755	88295
616	142964	88049
617	143242	87846
618	143465	87608
619	143694	87375
620	143915	87137
621	144127	86893
622	144351	86657
623	144536	86397
624	144717	86135
625	144927	85891
626	145172	85667
627	145377	85420
628	145579	85172
629	145771	84917
630	145988	84677
631	146190	84429
632	146387	84178
633	146577	83923
634	146778	83675
635	146998	83437
636	147280	83235
637	147523	83011
638	147820	82816
639	148070	82595
640	148295	82360
641	148515	82122
642	148715	81874
643	148991	81667
644	149380	81522
645	149610	81289
646	149835	81054
647	150087	80833
648	150422	80658
649	150624	80410
650	150849	80174
651	151166	79988
652	151422	79769
653	151656	79538
654	151909	79317
655	152130	79080
656	152420	78878
657	152640	78639
658	153275	78614
659	153563	78410
660	153867	78213
661	154068	77965
662	154285	77724
663	154488	77477
664	154725	77246
665	155120	77094
666	155378	76874
667	155644	76657
668	155892	76431
669	156156	76213
670	156468	76018
671	157092	75974
672	157702	75922
673	158166	75797
674	158528	75623
675	159215	75603
676	159950	75604
677	160722	75620
678	161327	75555
679	161635	75350
680	161995	75169
681	162294	74960
682	162652	74777
683	163016	74596
684	163350	74401
685	163684	74206
686	164061	74030
687	164394	73833
688	164734	73640
689	165067	73443
690	165426	73256
691	165679	73023
692	165899	72775
693	166119	72527
694	166355	72286
695	166579	72040
696	166828	71805
697	167053	71560
698	167272	71311
699	167474	71056
700	167676	70802
701	167902	70557
702	168102	70301
703	168341	70062
704	168548	69810
705	168770	69564
706	168998	69320
707	169229	69078
708	169449	68831
709	169718	68604
710	169951	68362
711	170177	68118
712	170430	67885
713	170704	67660
714	170922	67412
715	171136	67164
716	171372	66923
717	171641	66696
718	172054	66524
719	172365	66312
720	172593	66069
721	172858	65839
722	173068	65588
723	173291	65343
724	173638	65144
725	173870	64901
726	174084	64652
727	174328	64415
728	174596	64186
729	174829	63944
730	175069	63705
731	175266	63450
732	175566	63232
733	175819	62998
734	176033	62749
735	176301	62519
736	176702	62337
737	176891	62079
738	177080	61822
739	177269	61565
740	177475	61313
741	177675	61060
742	177862	60803
743	178026	60538
744	178197	60276
745	178369	60014
746	178578	59765
747	178794	59518
748	178973	59259
749	179126	58992
750	179295	58730
751	179460	58467
752	179649	58213
753	179810	57949
754	180005	57697
755	180172	57436
756	180332	57172
757	180497	56911
758	180731	56671
759	180920	56418
760	181123	56169
761	181272	55904
762	181440	55644
763	181625	55391
764	181808	55136
765	182038	54896
766	182218	54641
767	182401	54388
768	182578	54132
769	182749	53875
770	182940	53624
771	183099	53364
772	183245	53100
773	183422	52846
774	183639	52603
775	183861	52362
776	184155	52141
777	184375	51899
778	184718	51692
779	184916	51444
780	185098	51192
781	185269	50937
782	185438	50681
783	185597	50423
784	185758	50166
785	185940	49915
786	186150	49671
787	186295	49410
788	186452	49153
789	186621	48899
790	186775	48641
791	186938	48386
792	187110	48134
793	187269	47878
794	187414	47619
795	187575	47365
796	187729	47109
797	187899	46857
798	188043	46598
799	188185	46340
800	188324	46081
801	188468	45824
802	188615	45568
803	188795	45320
804	188976	45072
805	189144	44822
806	189323	44574
807	189512	44329
808	189755	44096
809	189967	43856
810	190147	43609
811	190324	43362
812	190592	43135
813	190779	42890
814	190963	42644
815	191119	42392
816	191275	42141
817	191425	41888
818	191587	41639
819	191758	41391
820	191918	41142
821	192071	40891
822	192284	40653
823	192460	40407
824	192610	40156
825	192790	39911
826	192947	39662
827	193105	39414
828	193264	39165
829	193403	38913
830	193554	38664
831	193708	38415
832	193868	38168
833	194020	37920
834	194178	37672
835	194331	37425
836	194490	37178
837	194641	36930
838	194810	36686
839	194963	36439
840	195107	36191
841	195269	35946
842	195432	35701
843	195601	35458
844	195765	35214
845	195970	34978
846	196145	34736
847	196340	34498
848	196542	34261
849	196737	34024
850	196931	33786
851	197191	33559
852	197373	33319
853	197560	33080
854	197735	32840
855	197909	32599
856	198061	32355
857	198210	32110
858	198364	31867
859	198510	31623
860	198666	31380
861	198834	31139
862	198988	30897
863	199142	30654
864	199298	30413
865	199477	30174
866	199640	29934
867	199777	29690
868	199926	29448
869	200085	29207
870	200233	28966
871	200387	28725
872	200524	28482
873	200675	28241
874	200816	27999
875	200968	27759
876	201113	27518
877	201254	27277
878	201395	27035
879	201533	26794
880	201666	26553
881	201809	26313
882	201960	26074
883	202111	25835
884	202246	25594
885	202390	25355
886	202522	25115
887	202660	24876
888	202806	24637
889	202949	24399
890	203101	24162
891	203243	23924
892	203383	23686
893	203510	23446
894	203647	23208
895	203787	22971
896	203924	22734
897	204094	22500
898	204249	22265
899	204398	22029
900	204662	21806
901	204820	21572
902	204987	21338
903	205156	21105
904	205367	20877
905	205540	20644
906	205724	20413
907	205878	20179
908	206059	19948
909	206210	19714
910	206363	19481
911	206539	19249
912	206696	19017
913	206861	18784
914	207039	18554
915	207202	18322
916	207350	18089
917	207502	17856
918	207635	17623
919	207781	17390
920	207940	17159
921	208115	16929
922	208252	16696
923	208425	16466
924	208601	16237
925	208772	16007
926	208945	15777
927	209124	15549
928	209279	15318
929	209431	15088
930	209587	14857
931	209728	14627
932	209881	14397
933	210038	14167
934	210200	13938
935	210351	13708
936	210485	13478
937	210626	13248
938	210817	13021
939	210975	12793
940	211160	12566
941	211327	12338
942	211472	12109
943	211625	11881
944	211800	11654
945	211954	11426
946	212118	11199
947	212267	10971
948	212413	10743
949	212566	10516
950	212716	10289
951	212860	10061
952	213015	9834
953	213171	9608
954	213321	9381
955	213467	9154
956	213626	8928
957	213770	8702
958	214000	8479
959	214188	8255
960	214563	8037
961	214802	7815
962	215022	7591
963	215237	7368
964	215432	7143
965	215616	6919
966	215916	6698
967	216129	6474
968	216317	6250
969	216517	6026
970	216726	5803
971	216967	5580
972	217171	5356
973	217401	5133
974	217767	4913
975	218039	4691
976	218277	4468
977	218505	4244
978	218711	4021
979	218916	3797
980	219186	3574
981	219721	3356
982	220068	3134
983	220277	2910
984	220488	2686
985	220699	2462
986	220915	2238
987	221126	2014
988	221295	1790
989	221444	1565
990	221602	1341
991	221767	1117
992	221915	893
993	222095	670
994	222253	446
995	222401	223
996	222547	0
